Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,Financial Year Baseline (£m),Financial Year Forecast (£m),Financial Year Variance (%),In Year Variance Narrative,Whole Life Cost (£m),Costs Narrative,Benefits (£m),Benefits Narrative,Does the project have an evaluation plan? (self reported),Senior Responsible Owner (SRO) Name,GMPP ID
ECHO 2 PROGRAMME,FCDO,ICT,The ECHO 2 Programme is procuring and managing the transition of new services to replace the expiring ECHO1 contract as well as managing the exit of services under ECHO1. It also encompasses setting up a process and approach for operating a Dynamic Purchasing System and service and support in BAU once sites have moved over to the next generation Wide Area Network that will be managed under a new contractual arrangement with a Network Services Integrator.,,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
The ECHO2 Programme has a delivery confidence of GREEN, with the Programme having transitioned the capability to Live Service, completed all of its transitions and now closed. The Programme delivered to its requirement, under its allocated FBC budget and to the re-baselined timeline. No exemptions or exceptions are required and as a now closed programme it was recommended by the IPA that it be removed from GMPP governance and removed from GRIP reporting as a result.",01/09/2015,"Low: 05/03/2025, Mid: 05/03/2025, High: 05/03/2025","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 23/01/2025 to 05/03/2025. This is primarily due to the following factors‚
Cutover failures due to equipment failure, low response times, no connectivity and complex sites pushed the timescales to the right",37.9,37.9,0.0,"The budget variance is less than or equal to 5%.
","Low: 265.00, Mid: 265.00, High: 265.00","Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 265.
","Low: 122.00, Mid: 122.00, High: 122.00","Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 119 to 121. This is primarily due to the following factors‚
benefits due to site closures ",Yes - Not published on the Government Evaluation Registry,Chris Maule,FCO_0010_1617-Q3
"TOKYO NEW BUILD, REMODELLING AND REFURBISHMENT",FCDO,Infrastructure and Construction,"Refurbishment and remodelling of key buildings on the British Embassy Tokyo compound.  The project will address end of life and failing assets through repair and replacement, it will prevent further deterioration and increasing danger of structural damage to the historic buildings and it will provide fit for purpose facilities.  The existing buildings fail to fully meet health and safety requirements and are not suitable for a modern and sustainable 21st century office working environment. This significant investment will future proof our ability to deliver diplomatic and operational solutions in one of our most important global posts.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. 
The project agrees with the Delivery Confidence Assessment rating at AMBER. ",01/06/2022,01/12/2031,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 01/12/2031. This is primarily due to the following factors‚
The project is being delivered in phases and our current programme indicates that the end-date for the last phase remains 01/12/2031.",4,4,0.0,"The budget variance is less than or equal to 5%.
The budget variance is less than or equal to 5%.",101,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 100 to 101. This is primarily due to the following factors‚
The project's whole life costs are recorded as £101m as agreed in the two OBCs for the project.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
The baseline benefits will be determined during the next phase of design development when further detail is available to calculate the benefits.",Yes - Not published on the Government Evaluation Registry,Rachel Stephenson,FCO_0216_2223-Q4
LOCAL LAND CHARGES (LLC) PROGRAMME,HMLR,Government Transformation and Service Delivery,"The Local Land Charges (LLC) Programme is transforming a fragmented, inefficient service currently delivered by local authorities (LAs) to a single national, digital register across England and Wales. LLCs are generally restrictions or prohibitions on the use of land, which binds successive owners and occupiers. 
A modernised LLC service will contribute to the industrial strategy and improve the end to end house buying and selling process.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Critical external dependencies. Delivery from Migration Service Delivery Partners (MSDPs) needs to ramp up in line with revised Business Case schedule. Internal review scheduled for Q2 to review Landmark (a MSDP) capability.",01/03/2014,31/03/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2027. This is primarily due to the following factors‚
No changes to current project timelines until Spending Review outcomes are finalised (expected Q2 FY25/26)",57.95,29.46,49.16,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Programme underspend is related to delivery. Current delivery schedules are extended, resulting in increased spend in latter programme years.",331,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 331. This is primarily due to the following factors‚
No changes to departmental agreed costs until Spending Review outcomes are finalised (expected Q2 FY25/26)",9616,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 9616. This is primarily due to the following factors‚
No changes to departmental agreed benefits baselines until Spending Review outcomes are finalised (expected Q2 FY25/26)",Yes - Published on the Government Evaluation Registry,Iain Banfield,BIS_0015_1516-Q1
TRADER SUPPORT SERVICE,HMRC,Government Transformation and Service Delivery,The Northern Ireland Trader Support Service (TSS) was established to provide a free-to-use service to support traders to meet their obligations under the Northern Ireland Protocol (now Windsor Framework) following the end of the European Union transition period on 31/12/20. The TSS helps traders move goods between Great Britain and Northern Ireland or bring goods into Northern Ireland from outside the United Kingdom.,,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
The increased rating was due to the fact that TSS has continued to deliver a high-quality service, along with new functionality to deliver the Windsor Framework, and improvements to customer experience and critical business system alignment. TSS will maintain support for traders to complete declarations, including under the new simplified customs processes.  ",29/06/2020,30/06/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/12/2024 to 30/06/2025. This is primarily due to the following factors‚
This is due to the fact that we secured agreement to extend TSS for one year to December 2025 in order to maintain support for traders.",123.6,88.19,28.65,"The budget variance exceeds 5%. 
The budget variance exceeds 5%. The cost of delivering TSS in 24/25 was lower than our baseline due to driving efficiencies and value for money within TSS operations. ",711.5,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 630 to 711. This is primarily due to the following factors‚ 
The project's departmental-agreed baseline Whole Life Cost at 24/25-Q4 increased from £630m to £711m. This is primarily due to the fact that we secured agreement to extend TSS for one year to December 2025 in order to maintain support for traders.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚ 
The Programme is not driven by financial benefit so the monetised benefits at 23/24-Q4 remained at £0m to 24/25-Q4.  The benefits are aimed at traders moving goods from Great Britain to Northern Ireland and the service helps them to meet their legal obligations under the Windsor Framework (previously the Northern Ireland Protocol). ",Yes - Published on the Government Evaluation Registry,Sarah Hartley,HMRC_0029_2021-Q3
HMRC NORTHERN IRELAND DELIVERY PROGRAMME,HMRC,ICT,"The Northern Ireland Delivery Programme (NIDP) was established in April 2022 to continue delivery of HMRC policy and legislative commitments for Northern Ireland, following the United Kingdom's exit from the European Union.

It includes delivery  of the changes to HMRC systems to enable HMRC and businesses to operate within the terms of the Windsor Framework.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors,
The programme continues to progress delivery of commitments within the Windsor Framework and Union Customs Code, as agreed between the UK and the EU.  The Amber delivery confidence assessment is consistent with previous reports, and  reflects the overall scale and technical complexity of the programme, with risks that are being managed within existing programme and departmental governance.",01/04/2022,31/03/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2025 to 31/03/2027. This is primarily due to the following factors,
Substantive progress continues to be made with delivery against the programme strategic outcomes. However, since the 2023/24 transparency data was published, the lifecycle of the programme has been extended by 2 years to 2027 to meet current legislative and on-going commitments and fully deliver the strategic outcomes.
",180.8,195.69,8.24,"The budget variance exceeds 5%. 
The programme progressed several large projects and changes during 2024/25, including completing required re-platforming of ageing excise systems. The in-year increase is the cumulative impact, where some of the early cost estimates have increased, as the projects have progressed through the IT change lifecycle.",573.05,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 498 to 573. This is primarily due to the following factors,
The increase is largely driven by changes in legislation that have introduced additional scope and costs and is off-set by lower costs in the original core scope.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors, 
The programme is managing changes to customs and indirect tax systems to comply with policy and legislative requirements. ",Yes - Not published on the Government Evaluation Registry,Sarah Hartley,HMRC_0164_2223-Q3
BUILDING OUR FUTURE LOCATIONS PROGRAMME,HMRC,Government Transformation and Service Delivery,"HMRC’s locations strategy, announced in 2015, is key to enabling a more highly skilled tax and customs authority within a Modern Civil Service. It continues to deliver modern, inclusive and strategically located offices, supporting wider government by creating opportunities, career paths and enabling vibrant cross government professional communities and in towns and cities across the UK.

HMRC’s new, award winning, offices provide safe, modern and inclusive workspaces with the digital infrastructure enabling improved collaboration, smarter working and a culture where everyone feels valued. HMRC’s offices incorporate flexible layouts that will meet future changing demands and priorities.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The programme has successfully delivered 12 award winning, greener offices enabling smarter working and accommodating over 40 government departments. We are continuing to secure long term locations to ensure HMRC retains the required skills, in the right locations while minimising redundancies, loss of knowledge and cost of rehire. 

In 2024/25, we successfully completed the refurbishment of our Dover Specialist Site. The construction of the Newcastle Regional Centre is progressing as planned and we are entering the delivery phase for our Portsmouth and Telford offices.

For our remaining sites, we have scheduled the delivery of the Outline Business Cases to enable us identify solutions that offer the best value for money and ensure HMRC retains the required skills in the right locations.",05/01/2016,05/04/2031,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 05/04/2031. This is primarily due to the following factors‚
We are continuing to secure long term locations for HMRC. Taking this into consideration, the current assumption remains that the Programme will close in 2030/31.",201.64,196.48,2.56,"The budget variance is less than or equal to 5%.
The 2024/25 full year final position was c.£2m lower than the departmental forecast reported at Q3. This is primarily due to in-year reductions driven by revised delivery timelines in several projects where costs will be incurred at a future point.",2884,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 2836 to 2884. This is primarily due to the following factors‚
Programme delivery was expected to conclude within a 10 year timeframe whereas the current programme is for 15 years. Given the extended life of the programme, discounted HMT WLC cost have increased but are still within the original programme WLC.",107.3,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 74 to 107. This is primarily due to the following factors‚
Monetised benefits represent estate running cost savings as a result of exiting legacy estate and moving into new Regional Centres and Specialist sites.",Yes - Published on the Government Evaluation Registry,Colin Casse,HMRC_0015_1617-Q1
MAKING TAX DIGITAL,HMRC,ICT,"Making Tax Digital is a major transformation programme delivering whole system change to the administration of VAT and Income Tax Self-Assessment (ITSA) tax regimes that will change how millions of customers manage their taxes and interact with HMRC. 
 
MTD supports the digitisation and productivity of UK businesses in the 21st century economy. Its aim is to make it easier for businesses to get their tax right and make the calculation and payment of tax simpler through a transformed modern, digital tax service. It will change customer record keeping behaviour by requiring mandated customers to keep digital records and provide quarterly updates to HMRC. This will improve business record keeping and encourage compliant behaviour, whilst providing businesses with a modern digital experience. 

 The MTD programme will drive digital adoption amongst the UK’s small business population to reduce error in tax and financial administration, supporting productivity and growth. It directly supports the government’s priorities to modernise the tax system, improve customer services, and to close the tax gap by raising billions in additional tax revenue to fund public services.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The Amber delivery status recognises that the programme continues to navigate a challenging and complex delivery environment, but remains on track to deliver successfully.   

Over the last year, the programme made significant progress and remains on track against its critical path plan.  The programme completed testing of core functionality and started to ramp up customer volumes in the 24/25 testing period as planned.  The public phase of testing will allow further functionality to be used in live with an increasing number and variety of customers ahead of the service going live for mandated customers from April 2026.    

At Autumn Budget 2024 the government confirmed their commitment to the MTD for ITSA delivery timescales, and at Spring Statement 2025, further announced: 

•The threshold for MTD for Income Tax will be lowered to £20k from April 2028; 

•A requirement for MTD customers to complete the entirety of their Self-Assessment obligations in MTD-compatible software; and 

•A number of deferrals and exemptions for small groups of customers. 
 
This announcement provides stakeholders certainty on most of the remaining key policy and design issues, and we will continue to work with stakeholders to address any remaining lower level questions over the coming months. ",01/04/2016,31/03/2029,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 has moved to 31/03/2029. This is primarily due to the following factors‚
Compared to the financial year 23/24-Q4, the project's end-date at 24/25-Q4 has been moved to reflect the revised schedule completion date, which is now 31st March 2029. This follows the Business Case update, where MTD programme is now expected to hand over to Business as Usual from March 29, reflecting changes to its scope, including the inclusion of >£20k cohort from 28/29.

The programme remains on track to deliver the costed scope as set out in its current business case by March 2029.",125.94,126.27,0.26,"The budget variance is less than or equal to 5%.
 In year budget variance for 2024-25 is < 0.5% ",1439.03,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 1272 to 1439. This is primarily due to the following factors‚
Since Q3 the programme has gained Treasury Approval of our updated business case, which changes our baseline to align with the business case. 

Departmental Baseline has increased by £166.995m from £1,272.030m to £1,439.025m following the approval of the latest MTD Programme Business Case. This business case now provides an estimate of the programme’s full lifecycle costs, including run costs through to March 2034, which were previously classified as un-costed.",4270.15,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 6278 to 4270. This is primarily due to the following factors‚
Following Treasury Approval of our updated business case our Departmental benefit baseline has reduced by circa £2bn, due to programme scope changes and improved modelling considerations as set out in our programme Business Case v7.0. 

Modelling assumptions and adjustments take into consideration a major tax gap update that reduced  Additional Tax Revenue (ATR), and a review of customer costs incorporated findings from businesses already signed up to MTD and external stakeholders that increased net customer costs. These modelling adjustments are likely to have contributed a significant proportion of the overall reduction in benefits. 

This programme still represents good value for money.",Yes - Published on the Government Evaluation Registry,"Suzanne Newton, Jonathan Athow",HMRC_0017_1617-Q2
SINGLE CUSTOMS PLATFORM,HMRC,ICT,"Single Customs Platform (SCP) has replaced the legacy 'Customs Handling of Imports Exports and Freight' (CHIEF) customs system with the new Customs Declaration Service (CDS). 

SCP objectives are to: 

1.	Transition the CDS into the United Kingdom's (UK) single customs platform
2.	Decommission the legacy CHIEF system and its associated services, removing complexity and cost for His Majesty's Revenue and Customs (HMRC) and traders
3.	Deliver ongoing critical CDS improvements

Enhancements have been carried out over several years in consultation with the border industry.  CDS has successfully processed 105 million customs declarations since 2018; and has the flexibility and capacity to grow in line with the Government's ambitious trade plans.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Single Customs Platform (SCP) is currently rated Amber, primarily due to ongoing work to ensure Customs Declaration Service (CDS) can deliver a long term sustainable CDS Service and improved customer experience. 

An Infrastructure Project Authority (IPA) led review (January 2025); and an Internal Audit review (March 2025) both identified work was required to develop SCP plans to transition and close the programme. 

SCP is addressing and progressing both review recommendations, in conjunction with an Independent Peer Review planned for June 2025. SCP will report progress.",04/04/2022,31/03/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2025 to 31/03/2027. This is primarily due to the following factors‚
Single Customs Platform (SCP) has identified the need to reframe its programme delivery for a further 2 years, to ensure there is a sustainable Customs Declaration Service (CDS) in place, for the longer term. 

SCP needs to move from being a largely functional focus, that has existed to date, and create a need to invest in the CDS Service. The programme has performed an extensive prioritisation exercise to target outcome achievement. 

To transition CDS to Business as Usual the programme needs to increase confidence of the CDS long-term ability to meet future requirements of HMRC, and broader HM Government border operations. ",115,114.9,0.08,"The budget variance is less than or equal to 5%.
The budget variance is less than or equal to 5%.","Low: 567.90, Mid: 589.44, High: 607.08","Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 309 to 589. This is primarily due to the following factors‚
The updated Whole Life Cost (WLC) figures now include a further two years 2025/2026 and 2026/2027.  This will ensure Customs Declaration Service (CDS) delivers for the longer term. 

This includes:
1.	Addressing CDS performance risks
2.	Making CDS cheaper to operate and change
3.	Deliver functionality that improves customer journeys and removes burdensome workarounds for both customers and HMRC operational teams
4.	Increase tax revenue through revenue loss prevention by delivering Postponed VAT Accounting (Full Validation) functionality.","Low: 223.86, Mid: 248.73, High: 261.17","Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 56 to 248. This is primarily due to the following factors‚
Single Customs Platform (SCP) benefits as an incremental figure was £56m in quarter 4 2023/2024, increasing to £90m for quarter 4 2024/2025. 

Benefits increased for SCP in 2024/2025 in the following areas: 
•	Customs Handling of Imports Exports and Freight (CHIEF) Decommissioning benefits
•	Customs Declaration Service (CDS) enhancements within non-cash releasing benefits for operational areas
•	The original yield from Postponed VAT Accounting (PVA)

The SCP Benefits whole lifecycle remains at £248m.",Yes - Published on the Government Evaluation Registry,Sarah Hartley,HMRC_0159_2223-Q2
UNITY PROGRAMME,HMRC,Government Transformation and Service Delivery,"The Shared Service Strategy for government launched in March 2021 setting out the vision to transform Shared Services across the civil service improving end users experience. To achieve this, five clusters have been formed across the civil service. HM Revenue & Customs (HMRC), Department for Transport (DfT) and Ministry of Housing, Communities and Local Government (MHCLG) collectively make up the Unity Programme. 

The aim for Unity is to transform HR, Finance and Procurement across HMRC, DfT and MHCLG groups, create a unified shared service for transactional activity which is user centric, swift and cost effective, and through deployment of modern technologies, transform the corporate offer within each department.  Our colleagues will be empowered through intuitive, streamlined and automated processes, improving their experience and enabling everyone to spend more time delivering essential services for the public.

This programme supports both the Prime Minister's plans for a Productive and Agile State and the delivery of Departmental efficiency targets.  

",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The Programme remains amber. We have moved into delivery phase of the programme and have made significant progress in 24/25 through transitioning DfT legacy shared services, and people to HMRC Unity Business Services in June 24, and onboarding of our technology delivery partner (Deloitte) and software provider (SAP) in November 2024. This has enabled us to mobilise our delivery projects, complete discovery work and start detailed design. 

Over the last year we have focused on building capability for the next stage, mitigating risks to support delivery and build strong, trusted relationships across our stakeholders and partners. We have appointed a new Programme Director, as well as Process and User Experience and Workforce design leads. 

In 2025-26 we will complete detailed design and build testing ahead of deployment of our first key projects of  HR and Payroll. Although there are challenges ahead, we are well positioned for success.",01/02/2021,31/12/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2027 to 31/12/2027. This is primarily due to the following factors:
Our current planning assumption is that we will complete the programme and stand up the full HMRC led shared service function (people and systems) by the end of Q1 27/28 for HMRC and Department for Transport, with MHCLG and Maritime and Coastguard Agency (MCA) joining in late 2027. This is in line with the shared services strategy for government and reflects a reasonable period for transition and hypercare.",44.02,35.91,18.42,"The budget variance exceeds 5%. This is primarily due to the following factors‚
This variance has primarily been due to the delay in approvals to sign the contract with Technical Delivery Partner and software supplier by approximately 2.5 months.  This meant the Supplier spend was not incurred for this period and, similarly, the programme recognised the movement in it's delivery timescale and re-aligned it's workforce recruitment accordingly, thereby also moving all of the aforementioned additional costs into the next financial year (this is a cost movement rather than a cost reduction).",259,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 437 to 259. This is primarily due to the following factors‚
In the second iteration of the Unity Programme Business Case (PBC) approved by Chief Secretary to the Treasury (CST) in October 2024, whole-life costs reduced from £437m (approved Oct 23) to £259m. The reductions primarily relate to negotiations of actual cost of licences and system integration following a lengthy procurement process, certainty around cost of transformation and increased maturity of programme delivery.  ",33.7,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 38 to 33. This is primarily due to the following factors‚
The variance reflects updated Programme Business Case which was subsequently approved. The costs had been updated following more mature knowledge and awareness of the cost estimation. ",Yes - Published on the Government Evaluation Registry,Cath Rollo,HMRC_0031_2122-Q3
ENTERPRISE TAX MANAGEMENT PLATFORM (ETMP),HMRC,Government Transformation and Service Delivery,"The Enterprise Tax Management Platform (ETMP) Regeneration is a multi-year programme, established to  modernise and protect the backbone of the HMRC tax accounting and payment capability. It will exploit new technology to enable better performance, improved user experience and innovation of our business processes to reduce cost and increase compliance and revenue.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors;
This is primarily due to the Low-medium maturity of the integrated Programme schedule, to demonstrate confidence of achieving a safe and technically compliant transition to new capabilities by the end of the extended support period (include date). The high complexity and low-medium maturity of the Programme delivery and procurement strategy which will require a multi-vendor approach and niche subject matter expertise in both client side and delivery partner capability. There are also multiple high risk areas centring around the technical enablement and migration, with an improving trajectory and medium maturity of pipeline projects to improve the current service during 25/26. These factors combined give an SRO confidence assessment of Amber. 
",29/07/2022,31/03/2030,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained the same at  31/03/2030. 
The programme's end-date remains at 24/25-Q4, 31 March 2030. 
",10,9.28,7.2,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The variance is partly due to delays to approving the Procurement strategy which was impacted by the pre election period and change in Government after the General Election in July 24 combined with and lower than expected supplier costs.",443.9,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 290 to 443.9. This is primarily due to the following factors‚
The previous version of this document estimated whole life costs of £290m for migration for the preferred option. Since then, further work has been carried out to review assumptions and delivery costs in partnership with SAP and Deloitte, which has seen the WLC increase to £443.9m.  ",21.18,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 55 to 21. This is primarily due to the following factors‚
Our understanding of potential benefits is still maturing and working with business owners and SAP we have started to set out an outline of expected benefits using benchmarked improvements from SAP created using an analysis of other organisations that have migrated to the new platform.",Yes - Published on the Government Evaluation Registry,"Paul Williams, Sarah McMann",HMRC_0292_2324-Q3
NS&I Transformation,HMT,Government Transformation and Service Delivery,"The NS&I Business Transformation Programme will undertake a re-procurement of services and implementation of a new business delivery model with three aims: 
•	To measurably reduce the costs of running the Retail business in steady state,
•	To complete NS&I’s journey to becoming a self-service digital business with support for the vulnerable and excluded,
•	To deliver more nimbly, reducing risk and enhancing scalability.",RED,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at RED. This is primarily due to the following factors‚
Solution gaps and other serious risks to the Business Transformation Programme have necessitated a recovery plan. There is a risk of slippage on major roadmap deliverables caused by scope and timeline mismatches between supplier contracts and the programme roadmap, alongside solution and design gaps necessitating re-work. In January 2025 the IPA conducted an Assurance of Action Plan that rated the programme’s recovery plan as AMBER, giving confidence that once the recovery plan is executed, the programme will return to Amber status.",03/06/2019,31/03/2028,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2026 to 31/03/2028. This is primarily due to the following factors‚
Commercial issues persisted with delays to contract signature for NS&I’s core banking engine and with the delivery of NS&I’s new Business-to-Business capability. Their combined impact was to extend the outsourcing agreement with the existing supplier by 2 years to March 28. Programme recovery was also a factor, with the core element being a significant shift in delivery approach for the remaining milestones. ",342.8,329.9,3.76,"The budget variance is less than or equal to 5%.
",2955.6,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased to 2955. This is primarily due to the following factors‚
The updated Full Business Case (FBC) was approved by Ministers and HM Treasury in Dec. 2024. This showed a cost increase over the previous 2023 Business Case in part due to inflation effects on rephased costs, increased solution complexity and increased incumbent and head office costs, as the transitional period for the programme was extended.  Additional risk-based costs were also included to reflect solution uncertainty during the recovery period.",971.3,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 488 to 971. This is primarily due to the following factors‚
The updated Full Business Case (FBC) was approved by Ministers and HM Treasury at the end of 2024. This FBC is reporting benefits up to 2033-34, as compared to the previous FBC which reported benefits up to 2030-31.",Yes - Not published on the Government Evaluation Registry,Matthew Smith,HMT_0004_2021-Q2
MANSTON TRANSFORMATION PROGRAMME,HO,Government Transformation and Service Delivery,"Manston Transformation Programme will transform the temporary infrastructure, utilities and facilities which are not sustainable in the long term and design/build new infrastructure at the Manston Site. Additionally, new Operator/Healthcare service contracts will be procured to reduce the number of contracts, streamline processes and save on costs.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 changed from RED to AMBER. This is primarily due to the following factors‚
Due to the change in government, during the financial year 24/25, the programme paused the original scope of work to consider alternative value for money options. A Ministerial steer and decision was received to move forward with a revised scope and extensive work has taken place to pivot the programme. Designs, requirements and the delivery timeline has been revisited and validated and as a result the programme has now been re-baselined and the current delivery confidence assessment has changed to Amber for Q1 reporting.",31/01/2023,31/03/2029,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 05/11/2027 to 31/03/2029. This is primarily due to the following factors‚
Due to the change in Government, this financial year, the Programme paused and revisited the scope and requirements from a value for money perspective. A Ministerial steer and decision was given to move forward with the revised scope and since then work has taken place to pivot the Programme. Design requirements and plans have been revisited and the delivery schedule has been re-baselined.",12.91,11.04,14.48,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Due to the change in government, during the financial year 24/25, the programme paused the original scope of work to consider alternative value for money options. A Ministerial steer and decision was received to move forward with a revised scope and extensive work has taken place to pivot the programme. Designs, requirements and the delivery timeline has been revisited and validated and as a result the programme has now been re-baselined.",987.31,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 2713 to 987. This is primarily due to the following factors‚
Due to the change in government, during the financial year 24/25, the programme paused the original scope of work to consider alternative value for money options. A Ministerial steer and decision was received to move forward with a revised scope and extensive work has taken place to pivot the programme. Designs, requirements and the delivery timeline has been revisited and validated and as a result the programme has now been re-baselined.",62.1,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 0 to 62. This is primarily due to the following factors‚
Over the last 12 months benefits analysis has been carried out to identify, quantify and evaluate the benefits the Programme is expected to deliver.",No,Paul Chandwani,HO_0285_2324-Q2
