GMPP ID Number,Project Name,Department,Annual Report Category,Description / Aims,"IPA Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","SRO Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)",Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date 
(Latest Approved Start Date)","Project - End Date 
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)",Financial Year Baseline (£m) (including Non-Government Costs),Financial Year Forecast (£m) (including Non-Government Costs),Financial Year Variance (%),"Departmental narrative on budget/forecast variance for 2023/24 
(if variance is more than 5%)",TOTAL Baseline Whole Life Costs (£m) (including Non-Government Costs),Departmental Narrative on Budgeted Whole Life Costs,TOTAL Baseline Benefits (£m),Departmental Narrative on Budgeted Benefits
MOD_0134_2122-Q1,TEUTATES,MOD,Military Capability,As part of the 2010 Lancaster House Agreements; a Treaty was established on a joint radiographic/hydrodynamics capability with France known as Teutates.  The programme covers the joint construction; funding; and operation of a new hydrodynamics facility in France; at Epure; near Dijon; and a technology development centre and interim firing point in the UK at the Atomic Weapons Establishment; at Aldermaston.   These  facilities will enable each country to undertake hydrodynamic experiments in a secure environment. The trials will be in a jointly operated facility but conducted on a national basis and are needed to underwrite the safety and performance of our nuclear weapon stockpile.   ,"Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000",2013-04-01 00:00:00,"Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000","Exempt under Sections 24, 26 and 27 of the Freedom of Information Act 2000",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0135_2122-Q1,Submarine Dismantling Project,MOD,Military Capability,"The Submarine Dismantling Project covers the preparation and execution of safely and securely dismantling the first defueled and decommissioned Royal Navy submarine, in Rosyth, by 2026.",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. The project is continuing to progress in line with its maturing schedule, however, this is a novel and complex project and learning by doing encounters difficulty and challenge that cannot necessarily be planned for.",2013-03-29 00:00:00,2027-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 is scheduled to finish on 2027-03-31. The date is based on a maturing schedule and its achievability. This date represents the formal closure of the project and is separate from the milestone to complete the dismantling of Swiftsure by 2026.",48.49,42.31,-12.74489585,The budget variance exceeds 5%. This is primarily due to the following factors. Labour and materials cost reprofiling. ,362,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 298m. to 362m. This is primarily due to the following factors. An increase in the number of employees required to complete the work and the impact of inflation e.g. the rising cost of materials.

 ",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0136_2122-Q1,Naval Support Integrated Global Network (NSIGN),MOD,Military Capability,"The Naval Support Integrated Global Network is the re-provision of the services contracted through Future Maritime Support Programme. Whilst The Naval Support Integrated Global Network will continue to develop the market facing transformation (a combination of single source and competition) it will also utilise Defence frameworks wherever possible, expand the scope for Ships to align the complex and non-complex, provide choice for how the Royal Navy will operate in the future and look at scope boundaries/opportunities where The Naval Support Integrated Global Network could deliver more effectively. The Strategic Outline Case was approved in March 2024 and the Programme is now in the Concept Phase.       ",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. This reflects the significant progress made by the Programme through the difficult early phase of mobilisation and accurately reflects the challenges of mobilisation, scope definition, solution design and alignment. 

",2021-12-01 00:00:00,2030-03-22 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2029-03-22 to 2029-09-25. This is primarily due to the following factors. Changes in key milestones reflect the delay on transition to the Concept Phase, as a result of a protracted Strategic Outline Case approval and the reality of a Programme early in the scoping and solution design phase. 
 ",Not Available,Not Available,0,"With scope and solution design still to be finalised in May 2024, the full cost model and analysis of affordability has not been completed.",Not Available,"With scope and solution design still to be finalised in May 2024, the full cost model and analysis of affordability has not been completed.
",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

"
MOD_0137_2122-Q1,European Common Radar System Mk 2,MOD,Military Capability,"The Phase 4 Enhancement (P4E) to the Typhoon aircraft includes upgrades to mission management systems, GPS resilience and navigational precision. It also provides the vehicle for the integration of the European Common Radar System (ECRS) Mk2 onto the aircraft. The radar is being developed to enable the aircraft to simultaneously detect, identify and track various targets on land and in the air and is vital to maintain Typhoonâ€™s control of the air. It also provides a new Electronic Warfare capability and sustains Typhoon capability to operate in contested and congested Electromagnetic environments. The programme is being delivered via multiple interdependent contracts. Radar development is being led nationally by the UK, whereas the wider P4E changes to the aircraft systems are being developed with the other Typhoon Partner Nations as part of the international Eurofighter Programme.",Amber,Not Applicable ,"Compared to financial year 22/23-Q4, the Infrastructure and Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. Despite delayed completion of the System Critical Design Review from September 21 to November 23, closure of outstanding action is expected in April 24. This has not impacted on the critical path development activities towards the Initial Operating Capability which are centred around antenna development which is progressing in parallel. With the earlier placement of the Phase 1 contract with industry partners, allocation of sub-contracts with suppliers to secure long-lead and high value materials within the terms of the Instruction to Proceed is ongoing.",2021-07-01 00:00:00,2032-08-01 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2023-01-20 to 2032-08-01. This is primarily due to the following factors. The Q4 22/23 end date of 2023-01-20 was incorrect. It should have read 2032-08-01 and so is unchanged at Q4 23/24.
Initial Operating Capability (IOC) and Full Operating Capability dates remain unchanged despite the delay to the System Critical Design Review. The establishment of a joint programme governance structure has allowed MOD and Industry to share information effectively and prioritise resources to maintain the schedule. The agreement of a proposal to complete radar development up to IOC has decreased the risk of schedule slippage in this area. Although progress has been made with the other Typhoon Partner Nations and their industries in fixing the scope and schedule of the development of the wider aircraft changes needed to integrate the radar and introduce other P4E capabilities, risk remains.",140.09,221.93,58.41958741,The budget variance exceeds 5%. This is primarily due to the following factors. An intentional bring forward of spend by reprofiling costs from future years.,2904,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 2740m to 2904m. This is primarily due to the following factors. Reflects release of further budget to the Programme including the allocation of a budget for FY 32/33. The Programmeâ€™s Full Business Case was approved in March 2022 securing an Approved Budgetary Level (ABL) funding envelope which covers the equipmentâ€™s design and manufacture through to its Full Operating Capability and subsequent likely out of service date. There has been no change to the programmes requirements and the increase in Budgeted WLC is contained within the extant ABL.

 ",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0138_2122-Q1,Sea Venom,MOD,Military Capability,"The Future Anti-Surface Guided Weapon (FASGW) is required to enable the Wildcat Helicopter to deliver kinetic effect against, and defeat difficult targets in the complex littoral and maritime environments, that lie outside the capabilities of other anti-ship weapon systems. Sea Venom delivers an element of the overall anti-surface combatant lethality required by the Royal Navy.",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors.  The Programme remains operational within the rebaselined schedule and costs. The Delivery Confidence Assessment of AMBER was endorsed by an IPA Review in July 2023. Positive progress is being made towards the first live firing of the weapon from the Wildcat helicopter but a number of integration risks need to be resolved before the assessment could improve to Green.",2014-03-03 00:00:00,2029-12-21 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 decreased from 2047-12-31 to 2029-12-21. This is primarily due to the following factors. The programme end date was previously aligned with the Wildcat helicopter's planned out of service date in 2045 but has now been defined as the point at which the military capability has been delivered to the Royal Navy and the programme team has disbanded.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0139_2122-Q1,Future Cruise Anti Ship Weapon (FCASW),MOD,Military Capability,"This programme aims to achieve delivery of a next generation complex weapon for the UK to meet the RAFâ€™s Selective Precision Effect At Range Capability 5 (SPEAR 5) and the Navyâ€™s Future Offensive Surface Warfare requirements. In doing so it is the cornerstone of UK / French bilateral cooperation as part of the â€˜Lancaster House Treatyâ€™ and supports UK Freedom of Action, Operational Advantage, prosperity and critical UK industrial capability in the complex weapons arena.",Amber,Not Applicable ,"Compared to financial year 22/23-Q4, the Infrastructure and Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. The programme is two thirds of the way through the Assessment Phase with evaluation of all the potential options available on track. The programme remains on course to deliver this phase to within the current approvals envelope regarding cost and time. The Delivery Confidence Assessment of AMBER was also endorsed by an IPA Assurance Review in December 2023. ",2017-07-01 00:00:00,2037-12-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 decreased from 2070-03-01 to 2037-12-31. This is primarily due to the following factors. The previous date provided was the Out of Service Date.  To achieve consistency with all other performance reporting the project end data has been used for this year.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0140_2122-Q1,Spearcap 3,MOD,Military Capability,This programme aims to achieve delivery and integration of Spear Cap 3; which will deliver the principal air-to-ground weapon for UK F-35 and is critical to the aircraft's Attack and Control of the Air capabilities in contested environments.,Red,Not Applicable ,"Compared to financial year 22/23-Q4, the Infrastructure and Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Red. This is primarily due to the following factors. Compounded delays and issues have led to a requirement to re-baseline the programme. There are challenges with resourcing sufficient suitably qualified and experienced people across defence, the programme and delivery teams; and within industry. Programme governance and the availability management information is also being refreshed alongside a plan to improve Programme performance. Opportunities to spiral capability developments to ensure capability is delivered at the earliest opportunity are being considered by the SRO.",2020-09-30 00:00:00,2030-12-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 decreased from 2047-12-31 to 2030-12-31. This is primarily due to the following factors. The previous programme end date provided was the Out of Service date, but now reflects the date at which the capability has been delivered and the programme team will no longer be required. The programme is currently undergoing a rebaselining which may further affect the programme end date. ",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0141_2122-Q1,Brimstone 3,MOD,Military Capability,"Brimstone 3 (B3) sustains the precise, low-collateral air-to-surface Brimstone capability on the Typhoon platform, it is also planned to be integrated onto the Protector platform.",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 increased from Red to Amber. This is primarily due to the following factors. 
The Delivery Confidence Assessment of AMBER was endorsed by an IPA Review in February 2024. There are still concerns in relation to people capability and capacity, programme management information and partnering culture which are negatively impacting the programme. There are challenges with resourcing sufficient suitably qualified and experienced people across the programme and delivery teams, and within industry. Programme Governance and the availability of Management Information is also being refreshed alongside a plan to improve Programme performance. Opportunities to spiral capability developments to ensure capability is delivered at the earliest opportunity are being considered by the SRO.
",2017-03-23 00:00:00,2028-12-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 has decreased from 2029-12-30 to 2028-12-31. This is primarily due to the following factors. The previous date provided was the OSD (Out of Service Date). The programme is also undergoing a rebaselining activity which may alter the end date again.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0142_2122-Q1,Martlet,MOD,Military Capability,"The Future Anti-Surface Guided Weapon (FASGW) is required to enable Wildcat helicopter to deliver kinetic effect against and defeat difficult targets in the complex littoral and maritime environments, that lie outside the capabilities of other anti-ship weapon systems. Martlet provides MOD with capability against close-in and fast-moving threats, as a critical part of the layered defence of a Maritime Task Group.",Not Applicable ,Green,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Green. This is primarily due to the following factors. 
Martlet has achieved its Initial Operating Capability.  It has moved into regular use with contracted in-service support and achievement of Full Operating Capability is on target to be achieved in 2025.",2011-04-30 00:00:00,2025-12-19 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 decreased from 2045-03-30 to 2025-12-19. This is primarily due to the following factors. The programme end date was previously aligned with the Wildcat helicopter's planned out of service date in 2045 but has now been defined as the point at which the military capability has been delivered to the Royal Navy and the programme team has disbanded.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0143_2122-Q1,Meteor,MOD,Military Capability,"This programme aims to achieve sustainment of a world beating Beyond Visual Range Air to Air Missile (BVRAAM) capability with our Meteor Partners (FRA, GE, SP, IT and SWE) to share cost and reap the benefits from competing in the global BVRAAM export market.",Not Applicable ,Amber,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 
There is uncertainty regarding the scale and shape of any future Meteor development and challenges in reaching consensus on the development path for Meteor across all six Partner Nations. Timescales for Meteor Lightning II integration remains uncertain due to the dependency on the Lightning II programme's timeline. Improvements are being made with In-Service Support and missile availability.
",2002-07-15 00:00:00,2033-12-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 decreased from 2048-12-31 to 2033-12-31. This is primarily due to the following factors. The previous programme end date provided was aligned with the platform end of service date. The revised date is when the first upgraded Meteor missiles will be delivered to the UK and enter into service. The programme schedule, and end date, are subject to change during 2024 (and potentially 2025) as Partner Nations aim to reach a consensus on the development path for Meteor.",Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations),Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations),Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations),Exempt under Section 27 of the Freedom of Information Act 2000 (International relations),Exempt under Section 27 of the Freedom of Information Act 2000 (International relations),Exempt under Section 27 of the Freedom of Information Act 2000 (International relations),0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0144_2122-Q1,Ground Based Air Defence (GBAD),MOD,Military Capability,"The Land Ground Based Air Defence programme is striving to modernise Defenceâ€™s ground based air defence capabilities in the face of rapidly developing threats, and is very high priority for the Army.  This includes the development of an integrated layered air defence system comprising countering Small Air Targets, Short and Medium Range Air Defence. ",Not Applicable ,Amber,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 
The programme has sustained progress in addressing recommendations of its IPA strategic review, including the resourcing of more programme staff, and the adoption of a more holistic approach to programme delivery, and a more realistic programme roadmap.

",2018-07-02 00:00:00,2033-12-31 00:00:00,The project's end-date at 23/24-Q4 is scheduled to finish on 2033-12-30. ,61.77,69.37,12.3037073,The budget variance exceeds 5%. This is primarily due to the following factors. The perceived underspend for the GBAD programme is the result of significant delay in securing approval of Business Case 1 as submitted in November 2023. ,2237,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 2303m. to 2237m. This is primarily due to the following factors. 
Financial reconciliation and refinement of the first two capability uplift packages (CUPs) during financial year 23/24 has resulted in a decrease to the programmeâ€™s WLC at Q4.Â Future CUPs were discussed as part of the Autumn 2023 Balance of Investment process where Army Headquarters agreed in principle to increase the funding for the overall programme, specifically to increase volumes of medium range and short range air defence systems, counter small Unmanned Aircraft Systems.Â  The Army continues to review the programmeâ€™s funding profile in conjunction with the MOD Complex Weapons elements of the programme pending the MOD munition strategy and updated costs.
 ",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
MOD_0247_2324-Q1,Future Materials Campus,MOD,Military Capability,"The Future Materials Campus (FMC) programme will renew existing facilities for the manufacture and storage of nuclear materials, improve science and analysis capabilities, and invest in renewed capability for material recovery.",Amber,Not Applicable ,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. Scale, complexity and challenge of the Programme. In 2023 the FMC programme was established that draws together a number of infrastructure facilities into a single programme of activity that when completed will deliver the manufacture and storage of nuclear materials. The projects have interconnected schedules, common activities and overlapping requirements for resources. The change in approach to that of an integrated programme is the most effective means of maximising efficiencies.",2023-08-16 00:00:00,Exempt under Sections 24 and 26 of the Freedom of Information Act 2000 ,Exempt under Sections 24 and 26 of the Freedom of Information Act 2000 ,673.47,327.57,-51.3608624,The budget variance exceeds 5%. This is primarily due to the following factors. The budget for the Future Material Campus Programme was reduced following a holistic review of the wider warhead portfolio costed plan and in conjunction with forecast estimates from the Future Materials Campus Programme. ,Exempt under Section 22 of the Freedom of Information Act 2000. ,"FMC is bringing together a range of projects at differing levels of maturity, with elements of concept development still ongoing. As such the whole life cost modelling and subsequent analysis remains under development.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

"
MOD_0320_2324-Q3,Multi Role Support Ship,MOD,Military Capability,"The Multi-Role Support Ship (MRSS) programme will replace the current ageing mixed fleet of amphibious vessels in the early 2030s, as well as potentially performing additional roles currently conducted by other warships and auxiliaries. These vessels will enable the projection of littoral strike capability worldwide and ensure that a modernised amphibious capability is available to the Commando Force.Â  The MRSS capability will be persistently engaged as Littoral Response Groups operating in both the Indo Pacific and Euro Atlantic regions, and will be ready to aggregate to form a larger Littoral Strike Group or be combined with a Carrier Task Group to form an Expeditionary Strike Force.",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. The scale, complexity and challenge of the Programme. The Programme was established in 2023 and is currently moving from the concept to assessment phase. The programme team are undertaking evidence gathering in order to make decisions around the route to commercial competition. ",2023-07-01 00:00:00,2040-01-31 00:00:00,"The project's end-date at 23/24-Q4 is 2040-01-31. This is primarily due to the following factors. With scope and solution design still to be finalised, the full cost model and schedule is still to be finalised. 
 ",1,1,0,The budget variance is less than or equal to 5%.,Exempt under Section 43 of the Freedom of Information Act 2000 (Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.),Exempt under Section 43 of the Freedom of Information Act 2000 (Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.),0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

"
CO_0281_2324-Q2,ATS Replacement,CO,Government Transformation and Service Delivery,"The ATS Replacement programme will replace the existing CS Jobs recruitment platform with a new system that can drive increased efficiencies, reduce overall costs of recruitment and improve the service through the potential standardisation of services and having consistent approaches to vacancies.",,Amber,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

Delivery confidence is amber due to two key challenges:_x000D_
1) recruitment pause in CO since late February is impacting on the ability for the programme to recruit and onboard programme resources in readiness for the Design, Build and Test phase (August 2024); this is further complicated by a CO headcount reduction challenge. Latest update is that this should be lifted once HR reconciliation in GPGconcludes._x000D_
_x000D_
2) The programme operates a cost recovery model. A significant price increase to departments only recently circulated for Shared Services (of which the ATS is one) is impacting n the ability of the programme to confirm commitment to use the service; an HMT condition from the OBC. The full business case is being submitted into the assurance and approvals process for May COAB with the programme taking steps to try to ensure the FBC remains on track for final approval at HMT by July 2024.",2022-01-01,2027-09-30,"The project's end-date at 23/24-Q4 is 2027-09-30. This is primarily due to the following factors. 

 The programme plan is fully achievable if the FBC due into assurance and approvals on 17 April does navigate first time through the various Boards to be finally approved by HMT on 8 July 2024 leading to a contract signature 26 July 2024.",2.61,2.62,0,The budget variance is inferior or equal to 5%.,43,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 43m. This is primarily due to the following factors. 

 The FBC is broadly in line with the OBC forecast (OBC was approved by HMT August 2023) but the programme cannot at this point in time provide a final WLC for this Q4 submission; the preferred supplier following an open tender procurement was only identified on 2 April and work to finalise the FBC incorporating these costs is still underway.",167,"The project's departmental-agree monetised benefits at 23/24-Q4 is 167m. 

Benefits no change - we are not realising any. Currently we are still on track as per submission 166.62m but work is about to conclude on a re-forecast which will accompany the FBC and amended as part of Q1 24/25 return"
CO_0024_2021-Q2,Civil Service Pensions 2015 Remedy,CO,Government Transformation and Service Delivery,The 2015 Remedy Programme was created to end discrimination within the Civil Service Pension Schemes and also creating solutions to remediate any affected members,,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

We received an AMBER rating following our IPA in January 2024.  We have fully implemented all of the  recommendations. _x000D_
_x000D_
We have delivered against target to return active and deferred member's accounts to their pre-2015 position (Rollback).  We have established a process to enable these members to have a choice at the point of retirement as to how they wish their Remedy period (1 April 2015 - 31 March 2022) to be calculated (DCU)._x000D_
_x000D_
We are on track to deliver the retired member group a similar pension choice exercise by the 31 March 2025 via a Remedial Service Statement (RSS)",2020-05-20,2024-09-30,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2024-09-30. This is primarily due to the following factors. 

 We are on track but running at risk on rollout of the Remedial Service Statements (RSS)  by the 31 March 2025.",11.5,13.5,17,The budget variance exceeds 5%. This is primarily due to the following factors. There is no variance for the 23/24 financial year,34,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 34m. This is primarily due to the following factors. 

 We have undertaken our final year forecasting which shows us on track to spend to budget of 33.5M",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

2015 Remedy has no benefits associated with it as it is a rectification programme to remove unlawful discrimination"
CO_0176_2223-Q3,Falcon IT Platform Refresh and Migration,CO,Government Transformation and Service Delivery,"Falcon is a business change programme that will fundamentally underpin the digital transformation of the Cabinet Office.The Transformation will be achieved through two key areas of investment. First we will update the OFFICIAL IT platforms within the Cabinet Office, which will contribute to reducing cyber-security risk, address legacy systems and automate underlying infrastructure. The second work stream the Cabinet Office we will invest in, will enable the implementation of the Central Digital Data Office (CDDO) interoperability policy standards and guidance through the migration of the department to Microsoft Office M365.  This will enable better interoperability across government as we move both our people and data from Google Workspace to Microsoft 365. The Cabinet Office is at the heart of Government and a common productivity suite will enable more efficient and effective ways of working.",,Red,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 increased from Amber to Red. This is primarily due to the following factors. 

The programme is currently rated at Red as it does not have an agreed strategic direction, investment and funding available. If there continues to be misalignment between the strategic intent and funding availability then the programme will almost certainly fail to deliver the scope and benefits set out in the business case. _x000D_
_x000D_
The programme's route to Green is through the submission of a Programme Business Case (PBC) with defined options for the migration and technical delivery.",2022-05-01,2026-03-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2025-03-31 to 2026-03-31. This is primarily due to the following factors. 

 The original profiling was delayed by 12 months due to procurement delays. The original profile was a 3 year spend profile from Apr 23 to March 26. The anticipated spend profile expects an end date of April 27, 12 months after the original baseline end date.",21.75,10.05,-54,"The budget variance exceeds 5%. This is primarily due to the following factors. The original profiling 21.8 m was delayed by 12 months due to procurement delays. This has had the impact of moving the original spend profile out by 12 months. The 23/24 financial year was intended to be a more expensive migration and roll out period in the original baseline plan, however due to procurement delays the discovery period and proof of concept have been completed in 23/24 and design phase has commenced. The overall costs are therefore significantly lower  (11.7 m) reducing the profile to 10 m in 23/24 against the baseline plan as migration and roll out has not yet commenced.",51,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 52m. to 51m. This is primarily due to the following factors. 

 The Whole Life Cost 51.4 m remains within the GMPP approval. There is a slight reduction in WLC 50.6 m due to in year savings in 23/24 against budget profile. The profiling over future years will be reviewed as part of the May Programme Business Case Submission. Profiles have used business planning options for the remaining years whilst the business case preparation is ongoing.",60,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 60m. 

Benefits were re-baselined in March 2023. The benefits value remains consistent with the baseline. Benefits review is ongoing as part of the May Programme Business Case Submission."
