project_name,task_id,update_phase,task_name,baseline_end,end_date,slip_days,severity_score,change_type
Alpha,tsk-026,update_10,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_10,Task 027,2025-07-31,2025-08-16,16,2,Delay
Alpha,tsk-028,update_10,Task 028,2025-03-15,2025-03-22,7,1,Delay
Alpha,tsk-029,update_10,Task 029,2025-10-01,2025-10-19,18,2,Delay
Alpha,tsk-030,update_10,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_10,Task 031,2025-08-26,2025-09-02,7,1,Delay
Alpha,tsk-032,update_10,Task 032,2025-04-08,2025-05-04,26,2,Delay
Alpha,tsk-033,update_10,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_10,Task 034,2025-08-24,2025-10-07,44,3,Delay
Alpha,tsk-035,update_10,Task 035,2025-06-23,2025-07-06,13,2,Delay
Alpha,tsk-036,update_10,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_10,Task 037,2025-01-01,2025-01-24,23,2,Delay
Alpha,tsk-038,update_10,Task 038,2025-05-11,2025-06-25,45,3,Delay
Alpha,tsk-039,update_10,Task 039,2025-05-03,2025-05-17,14,2,Delay
Alpha,tsk-040,update_10,Task 040,2025-05-02,2025-04-27,-5,0,Early Finish
Alpha,tsk-041,update_10,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_10,Task 042,2025-03-13,2025-04-19,37,3,Delay
Alpha,tsk-043,update_10,Task 043,2025-02-06,2025-02-19,13,2,Delay
Alpha,tsk-044,update_10,Task 044,2025-11-05,2025-11-09,4,1,Delay
Alpha,tsk-045,update_10,Task 045,2025-10-28,2025-12-02,35,3,Delay
Alpha,tsk-046,update_10,Task 046,2025-01-23,2025-01-29,6,1,Delay
Alpha,tsk-047,update_10,Task 047,2025-02-13,2025-03-13,28,2,Delay
Alpha,tsk-048,update_10,Task 048,2025-02-09,2025-02-28,19,2,Delay
Alpha,tsk-049,update_10,Task 049,2025-03-15,2025-04-07,23,2,Delay
Alpha,tsk-050,update_10,Task 050,2025-12-13,2026-01-01,19,2,Delay
